test,period,psd
2_control_dd,8.592592592592593,148656.73789164014
2_control_dd,8.487804878048781,92636.2197517492
2_control_dd,8.3855421686747,54892.543584160354
2_control_dd,8.285714285714286,164099.6204244196
2_control_dd,8.188235294117646,182767.96973332672
2_control_dd,8.093023255813954,188660.26213146147
2_control_dd,8.0,758114.1015057368
2_control_dd,7.909090909090908,261563.94492317273
2_control_dd,7.820224719101124,726870.0568721211
2_control_dd,7.7333333333333325,105164.99487924558
2_control_dd,7.648351648351649,119445.8479296307
2_control_dd,7.565217391304348,44773.556974260304
2_control_dd,7.483870967741936,118025.06533706957
2_control_dd,7.404255319148936,7945.003941650063
2_control_dd,7.326315789473685,60067.06345428545
2_control_dd,7.25,7764.256488465383
2_control_dd,7.175257731958762,43841.18174071081
2_control_dd,7.1020408163265305,93624.52688486056
2_control_dd,7.03030303030303,11289.980389299997
2_control_dd,6.960000000000001,10053.295430743023
2_control_dd,6.891089108910891,64634.493107021975
2_control_dd,6.8235294117647065,159826.01431619853
2_control_dd,6.757281553398058,58574.29611390677
2_control_dd,6.692307692307693,28746.38626854614
2_control_dd,6.628571428571429,6028.9863745620105
2_control_dd,6.566037735849056,16710.018629614307
2_control_dd,6.504672897196262,25237.475633231297
2_control_dd,6.444444444444445,93846.94134957097
2_control_dd,6.385321100917432,66708.91092810725
2_control_dd,6.327272727272727,32375.629943389053
2_control_dd,6.270270270270271,42819.3732490818
2_control_dd,6.214285714285714,5463.736530171497
2_control_dd,6.15929203539823,164486.92643393818
2_control_dd,6.105263157894737,214658.93227059025
2_control_dd,6.052173913043478,7893.504902588081
2_control_dd,6.0,160752.78119731913
2_control_dd,5.948717948717949,1723596.28334919
2_control_dd,5.898305084745763,354198.594517699
2_control_dd,5.848739495798319,307008.05719997303
2_control_dd,5.8,197069.79284228839
2_control_dd,5.75206611570248,39.793220519505795
2_control_dd,5.704918032786885,71069.11179342773
2_control_dd,5.658536585365854,128169.99944712271
2_control_dd,5.612903225806451,128251.07123692693
2_control_dd,5.5680000000000005,20443.550643179813
2_control_dd,5.523809523809524,170294.1970436552
2_control_dd,5.480314960629921,40367.08055305223
2_control_dd,5.4375,114451.66689024266
2_control_dd,5.395348837209302,166568.70501998492
2_control_dd,5.353846153846154,102033.92890619028
2_control_dd,5.312977099236641,87415.98682043928
2_control_dd,5.272727272727273,12359.131467667254
2_control_dd,5.2330827067669174,96267.12346627923
2_control_dd,5.194029850746269,11563.783752571622
2_control_dd,5.155555555555556,11887.42073422747
2_control_dd,5.11764705882353,102540.38065609385
2_control_dd,5.08029197080292,47433.63055252958
2_control_dd,5.043478260869565,21732.7133482988
2_control_dd,5.0071942446043165,11665.062566672266
2_control_dd,4.9714285714285715,56095.344058362614
2_control_dd,4.9361702127659575,12674.502053561284
2_control_dd,4.901408450704225,51313.119285428074
2_control_dd,4.8671328671328675,62798.143755543955
2_control_dd,4.833333333333333,172228.34179931946
2_control_dd,4.8,140229.5208721424
2_control_dd,4.767123287671233,125955.46117854469
2_control_dd,4.73469387755102,28999.98512990424
2_control_dd,4.702702702702703,17903.42102748982
2_control_dd,4.671140939597316,14944.087874657673
2_control_dd,4.640000000000001,81803.04209910925
2_control_dd,4.609271523178808,8012.888525301126
2_control_dd,4.578947368421052,118.17086419385876
2_control_dd,4.549019607843137,15113.910061879687
2_control_dd,4.51948051948052,37700.16354569745
2_control_dd,4.490322580645161,84253.20516529267
2_control_dd,4.461538461538462,12496.922674691605
2_control_dd,4.43312101910828,41695.28920443774
2_control_dd,4.405063291139241,28237.262081997604
2_control_dd,4.377358490566038,59744.04260795862
2_control_dd,4.35,51371.897906308695
2_control_dd,4.3229813664596275,19697.171087522824
2_control_dd,4.296296296296297,55646.56295418748
2_control_dd,4.269938650306749,78468.04211444427
2_control_dd,4.2439024390243905,16259.278609935065
2_control_dd,4.218181818181818,3613.82197590222
2_control_dd,4.19277108433735,18544.692322682404
2_control_dd,4.167664670658683,7739.435325207205
2_control_dd,4.142857142857143,679.166845893628
2_control_dd,4.118343195266272,46035.957079687316
2_control_dd,4.094117647058823,60180.42543808105
2_control_dd,4.0701754385964914,58521.61165344675
2_control_dd,4.046511627906977,8380.848082135473
2_control_dd,4.023121387283237,11643.968255645992
2_control_dd,4.0,3551.3884415593707
2_control_dd,3.977142857142857,116731.11041476655
2_control_dd,3.954545454545454,38818.83267227628
2_control_dd,3.9322033898305087,5102.231627587976
2_control_dd,3.910112359550562,88.17793267234369
2_control_dd,3.888268156424581,15431.369299037076
2_control_dd,3.8666666666666663,106442.50457297398
2_control_dd,3.8453038674033153,31435.003602229717
2_control_dd,3.8241758241758244,3956.271173289855
2_control_dd,3.8032786885245904,6344.235373831957
2_control_dd,3.782608695652174,2134.4902807355784
2_control_dd,3.762162162162162,10009.255902726969
2_control_dd,3.741935483870968,12432.692332277104
2_control_dd,3.72192513368984,20332.90539281902
2_control_dd,3.702127659574468,5481.197167181627
2_control_dd,3.6825396825396823,5221.598470915911
2_control_dd,3.6631578947368424,2552.5847949035337
2_control_dd,3.6439790575916233,2062.589379354511
2_control_dd,3.625,1973.7140757052312
2_control_dd,3.606217616580311,845.8855757932664
2_control_dd,3.587628865979381,8128.128008654931
2_control_dd,3.5692307692307694,24130.056577870928
2_control_dd,3.5510204081632653,407.0058967671668
2_control_dd,3.532994923857868,8036.905569264464
2_control_dd,3.515151515151515,5423.561745806328
2_control_dd,3.49748743718593,5372.291912569774
