Probeset_ID,Symbol,Time,Values,LombScargle_P,LombScargle_Q,LombScargle_period,LombScargle_phase,Tissue
10365302,A230046K03Rik,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,718.0;711.7;650.4;702.6;664.7;593.8;608.3;599.9;595.0;603.6;658.9;689.4;663.5;661.6;708.4;822.3;709.0;748.4;667.6;737.5;675.0;693.1;651.0;630.9,0.00928,0.745633,37.29,2.67,heart
10495359,Clcc1,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,1196.8;1260.0;1082.1;1164.9;1175.2;1124.7;1053.6;1122.8;1018.2;1162.7;1075.4;1179.3;1227.4;1223.8;1375.0;1260.4;1263.2;1289.4;1221.7;1237.4;1217.9;1224.2;1137.8;1098.9,0.0094,0.747628,37.29,2.18,heart
10472589,Phospho2,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,545.9;489.8;399.7;461.0;402.0;339.3;332.3;394.1;344.7;397.6;439.2;486.2;553.4;479.6;530.7;563.6;472.8;447.3;307.4;413.8;391.8;433.7;427.5;449.3,0.00946,0.749131,26.779,21.6,heart
10516393,Eif2c4,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,259.8;257.9;228.1;249.9;253.1;232.2;210.4;238.1;226.8;228.2;221.7;239.3;239.9;251.5;253.3;262.4;266.3;264.5;250.4;227.9;218.0;213.3;194.4;227.1,0.00959,0.750127,29.124,23.42,heart
10361509,Syne1,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,556.9;589.1;545.0;545.0;547.8;540.3;466.7;495.1;484.1;501.0;486.8;559.7;522.8;613.3;633.4;569.3;557.9;537.5;535.4;498.5;479.6;498.6;482.4;587.9,0.00973,0.750127,24.783,22.11,heart
10478778,Arfgef2,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,922.2;997.7;942.4;1016.3;912.0;903.5;838.3;880.5;822.7;883.1;889.0;963.7;868.7;1026.8;1047.4;961.8;918.9;835.4;842.1;843.9;771.7;793.8;859.8;1041.6,0.0099,0.750127,23.064,21.39,heart
10358533,Hmcn1,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,922.1;1162.4;1167.0;1043.2;946.0;1160.1;960.2;931.9;782.5;771.7;809.9;837.5;869.0;959.4;1163.8;1095.2;916.6;1122.9;861.0;812.7;847.5;860.1;666.8;810.1,0.0101,0.750872,24.783,23.99,heart
10554938,Rab30,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,345.3;329.0;286.4;301.1;291.5;225.2;209.7;239.9;197.8;235.8;275.3;277.9;309.6;272.1;273.1;330.3;311.2;249.0;195.8;231.0;240.4;268.1;264.2;295.2,0.0101,0.750872,23.892,21.77,heart
10555205,Gdpd5,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,333.6;387.0;336.8;343.9;363.4;378.4;320.1;339.1;284.0;279.0;299.4;326.2;334.0;376.9;373.4;333.4;365.3;330.3;321.1;307.5;303.6;257.1;276.6;328.9,0.0102,0.750872,23.892,22.28,heart
10527538,Rasl11a,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,125.6;132.6;144.0;123.5;110.7;119.3;117.8;104.2;107.0;110.2;102.0;121.7;130.4;135.6;115.7;123.8;119.7;107.8;104.7;100.5;96.7;98.1;126.6;115.9,0.0104,0.760363,23.064,21.41,heart
10361023,Prox1,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,962.4;1007.8;856.6;877.7;961.9;967.2;759.1;808.2;776.1;766.0;739.2;940.3;910.1;945.8;979.4;967.5;956.9;986.9;821.1;742.4;697.7;711.1;712.3;938.3,0.0106,0.763429,24.783,22.07,heart
10451363,Srf,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,890.0;867.7;899.7;919.7;844.5;780.3;838.1;828.3;753.7;802.1;826.4;913.6;888.2;1054.3;1029.2;961.7;866.5;781.6;696.5;759.0;819.1;766.7;861.6;883.1,0.0108,0.763429,23.064,21.27,heart
10471036,Dolpp1,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,238.5;233.4;256.8;251.6;231.0;233.5;205.4;209.5;224.6;200.5;230.4;225.0;246.9;269.0;246.7;253.7;230.6;231.0;232.1;228.3;196.2;206.0;227.5;252.9,0.0108,0.763429,23.064,21.99,heart
